"Column","Category","Frequency","Proportion.x","Proportion.Freq","N"
"IPV6.Traffic"," ",42," ",0.07,"42 (7%)"
"IPV6.Traffic","-",153,"-",0.255,"153 (25.5%)"
"IPV6.Traffic","FALSE",405,"FALSE",0.675,"405 (67.5%)"
"IPV6.Traffic","TRUE",0,"TRUE",0,"0 (0%)"
"Operating.System","-",0,"-",0,"0 (0%)"
"Operating.System","Android",225,"Android",0.375,"225 (37.5%)"
"Operating.System","iOS",63,"iOS",0.105,"63 (10.5%)"
"Operating.System","Linux (unknown)",2,"Linux (unknown)",0.00333333333333333,"2 (0.3%)"
"Operating.System","Other",0,"Other",0,"0 (0%)"
"Operating.System","Windows (Unknown)",243,"Windows (Unknown)",0.405,"243 (40.5%)"
"Operating.System","Windows 10+",5,"Windows 10+",0.00833333333333333,"5 (0.8%)"
"Operating.System","Windows 7",62,"Windows 7",0.103333333333333,"62 (10.3%)"
"Connection.State","ESTABLISHED",404,"ESTABLISHED",0.673333333333333,"404 (67.3%)"
"Connection.State","INVALID",183,"INVALID",0.305,"183 (30.5%)"
"Connection.State","NEW",4,"NEW",0.00666666666666667,"4 (0.7%)"
"Connection.State","RELATED",9,"RELATED",0.015,"9 (1.5%)"
"Ingress.Router","mel-aus-01",354,"mel-aus-01",0.59,"354 (59%)"
"Ingress.Router","syd-tls-04",246,"syd-tls-04",0.41,"246 (41%)"
"Class","No",300,"No",0.5,"300 (50%)"
"Class","Yes",300,"Yes",0.5,"300 (50%)"
